country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2
Afghanistan,2020,AFG,38972236,,0.061,0.002,11.682,0.6,5.416,12.012,0.6,5.259,0.308,,0.438,0.3,,0.426,4.15,0.106,,,,2.504
Afghanistan,2021,AFG,40099460,,0.012,0,11.874,0.192,1.647,12.241,0.229,1.907,0.305,,0.451,0.296,,0.438,4.204,0.105,,,,2.517
American Samoa,2020,ASM,46216,,,,,,,,,,,,,,,,,,,,,
American Samoa,2021,ASM,45056,,,,,,,,,,,,,,,,,,,,,
Aruba,2020,ABW,106597,,0,0,0.779,-0.133,-14.62,,,,,,,7.307,,0.168,0,0,,,,0
Aruba,2021,ABW,106543,,0,0,0.858,0.079,10.164,,,,,,,8.054,,0.175,0,0,,,,0
Bahrain,2020,BHR,1477478,,0.615,0.416,37.603,-0.211,-0.558,37.603,-0.211,-0.558,25.451,,0.163,25.451,,0.163,0,0,21.83,14.775,,7.447
Bahrain,2021,BHR,1463266,,0.615,0.42,39.016,1.413,3.759,39.016,1.413,3.759,26.664,,0.165,26.664,,0.165,0,0,,,,8.062
Barbados,2020,BRB,280704,,0.071,0.251,1.022,-0.156,-13.211,0.912,-0.156,-14.572,3.248,,0.151,3.639,,0.169,0,0,,,,3.627
Barbados,2021,BRB,281204,,0.071,0.251,1.125,0.104,10.152,0.979,0.067,7.357,3.481,,0.151,4.002,,0.174,0,0,,,,3.698
Belgium,2020,BEL,11561716,,2.634,0.228,90.368,-9.065,-9.116,93.409,-8.918,-8.715,8.079,,0.141,7.816,,0.136,10.651,0.921,177.959,15.392,,220.602
Belgium,2021,BEL,11611416,,2.634,0.227,95.722,5.354,5.925,98.873,5.464,5.85,8.515,,0.134,8.244,,0.13,11.016,0.949,,,,223.237
Estonia,2020,EST,1329449,,0.02,0.015,9.343,-3.037,-24.533,8.61,-2.744,-24.168,6.477,,0.146,7.028,,0.159,5.336,4.013,12.477,9.385,,22.162
Estonia,2021,EST,1328704,,0.02,0.015,10.449,1.106,11.838,10.009,1.399,16.25,7.533,,0.162,7.864,,0.17,6.222,4.682,,,,22.182
Ethiopia,2020,ETH,117190920,,3.914,0.033,17.041,-1.257,-6.87,252.343,-2.246,-0.882,2.153,,2.504,0.145,,0.169,1.176,0.01,20.282,0.173,,37.44
Ethiopia,2021,ETH,120283024,,3.914,0.033,17.793,0.752,4.412,249.321,-3.022,-1.198,2.073,,2.378,0.148,,0.17,1.264,0.011,,,,41.354
Europe,2020,,747462669,,107.095,0.143,5010.947,-415.677,-7.66,5237.585,-376.014,-6.698,7.011,,0.184,6.707,,0.176,1166.725,1.562,5441.516,7.283,,9039.614
Europe,2021,,746417727,,108.911,0.146,5306.228,295.281,5.893,5552.516,314.931,6.013,7.442,,0.184,7.112,,0.176,1233.288,1.653,,,,9148.525
India,2020,IND,1396387072,,122.908,0.088,2445.012,-181.447,-6.908,2553.76,-206.985,-7.497,1.829,,0.29,1.751,,0.277,1588.06,1.137,2276.881,1.631,,2475.325
India,2021,IND,1407563904,,149.001,0.106,2709.684,264.672,10.825,2794.982,241.222,9.446,1.986,,0.292,1.925,,0.283,1802.312,1.28,,,,2624.326
